ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
11,Piping - Hot Domestic Waster Piping – greater than 2 ½ diameter,PFA,NS,2,0.0829251424199208,2,1.5,2.6,,,,0.4,0.4,,,,0.45931758530183725,4.8556430446194225,,,,0.6488,0.4038,,,,,,,,
12,Piping - Sanitary Waste Piping,PFA,NS,2,0.15231096729220006,1,2.25,,,,,0.5,,,,,4.396325459317585,4.396325459317585,,,,0.3142,,,,,,,,,
13,Piping - Process Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.0,1,2.25,,,,,0.5,,,,,4.396325459317585,4.396325459317585,,,,0.3142,,,,,,,,,
14,Piping - Process Piping – greater than 2 ½ diameter,PFA,NS,2,0.0,1,2.25,,,,,0.5,,,,,4.396325459317585,4.396325459317585,,,,0.3142,,,,,,,,,
15,Piping - Acid Waste Piping,PFA,NS,2,0.0,1,2.25,,,,,0.5,,,,,4.396325459317585,4.396325459317585,,,,0.3142,,,,,,,,,
16,HVAC - Chiller capacity,PFA,NS,2,0.01448475851691542,1,0.2,,,,,0.4,,,,,50820.0,50820.0,,,,0.1785,,,,,,,,,
17,HVAC - Cooling Tower capacity,PFA,NS,2,0.014663700169417758,1,0.5,,,,,0.4,,,,,26070.0,26070.0,,,,0.172,,,,,,,,,
18,HVAC - Air Handling Units,PFA,NS,2,0.10479046580046471,2,0.25,0.25,,,,0.4,0.4,,,,1100.0,32120.0,,,,0.1511,0.1655,,,,,,,,
19,HVAC - Fans,PFA,NS,2,0.0,1,0.5,,,,,0.4,,,,,2915.0,2915.0,,,,0.1394,,,,,,,,,
20,HVAC - HVAC Ducts – 6 sq. feet for larger,PFA,NS,2,0.030377508759975552,2,1.5,2.25,,,,0.4,0.4,,,,3.4284776902887137,32.11942257217848,,,,0.256,0.0806,,,,,,,,
21,HVAC - HVAC Ducts – less than 6 sq. feet,PFA,NS,2,0.11244231591878691,2,1.5,2.25,,,,0.4,0.4,,,,2.345800524934383,25.262467191601047,,,,0.3674,0.1002,,,,,,,,
22,HVAC - HVAC in-line Drops & Diffusers,PFA,NS,2,0.04496103104640068,1,1.3,,,,,0.4,,,,,330.0,330.0,,,,0.2066,,,,,,,,,
23,HVAC - HVAC in-line Coils,PFA,NS,2,0.025003873410717692,1,1.9,,,,,0.4,,,,,1650.0,1650.0,,,,0.2942,,,,,,,,,
24,HVAC - VAV Boxes,PFA,NS,2,0.009694292564970475,1,1.9,,,,,0.4,,,,,1650.0,1650.0,,,,0.2942,,,,,,,,,
25,HVAC - Fan Coil Unis,PFA,NS,2,0.0,1,1.9,,,,,0.4,,,,,1650.0,1650.0,,,,0.2942,,,,,,,,,
26,Piping - Steam & Chilled Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.0,2,0.55,1.1,,,,0.5,0.5,,,,0.20931758530183725,2.122047244094488,,,,0.7637,0.4054,,,,,,,,
27,Piping - Steam & Chilled Water Piping – greater than 2 ½ diameter,PFA,NS,2,0.0,2,1.5,2.6,,,,0.5,0.5,,,,0.45931758530183725,4.8556430446194225,,,,0.6488,0.4038,,,,,,,,
28,Piping - Heating Water Piping - 2 ½ inch diameter or smaller,PFA,NS,2,0.013594229852082909,2,0.55,1.1,,,,0.5,0.5,,,,1.0465879265091864,10.61023622047244,,,,0.7637,0.4054,,,,,,,,
29,Piping - Heating Water Piping – greater than 2 ½ diameter,PFA,NS,2,0.012518016527350172,2,1.5,2.6,,,,0.5,0.5,,,,0.45931758530183725,4.8556430446194225,,,,0.6488,0.4038,,,,,,,,
30,Electrical - Motor Control Centers,PFA,NS,2,0.0003492678374383338,1,0.73,,,,,0.45,,,,,4565.0,4565.0,,,,0.1826,,,,,,,,,
31,Electrical - Transformers < 100kVA,PFA,NS,2,0.0008892093283569724,1,1.01,,,,,0.6,,,,,8332.5,8332.5,,,,0.1875,,,,,,,,,
32,Electrical - Distribution Panel,PFA,NS,2,0.00036426709548480766,1,2.16,,,,,0.45,,,,,12057.5,12057.5,,,,0.1572,,,,,,,,,
33,Electrical - Wall mounted switchgear,PFA,NS,2,0.0025741915413575226,1,1.28,,,,,0.4,,,,,10202.5,10202.5,,,,0.1572,,,,,,,,,
34,Electrical - Lighting Fixtures – Lay in fluorescent,PFA,NS,2,0.13239391598947542,1,0.6,,,,,0.4,,,,,0.45999999999999996,0.45999999999999996,,,,0.6369,,,,,,,,,
35,Electrical - Lighting Fixtures – Stem hung fluorescent,PFA,NS,2,0.12925876371673747,1,0.6,,,,,0.4,,,,,0.45999999999999996,0.45999999999999996,,,,0.6369,,,,,,,,,
36,Electrical - Standby generators,PFA,NS,2,0.7818624500385802,4,0.9,0.9,0.9,0.9,,0.4,0.4,0.4,0.4,,220.0,3250.0,3850.0,4450.0,,0.1713,0.1705,,,,,,,,
37,Fire Protection - Sprinkler Piping,PFA,NS,2,0.49457193097164115,2,1.1,2.4,,,,0.4,0.5,,,,0.4210411198600175,3.608923884514436,,,,0.6488,0.4054,,,,,,,,
38,Fire Protection - Sprinkler Drops,PFA,NS,2,0.07438277052162134,2,0.75,0.95,,,,0.4,0.4,,,,2.75,5.5,,,,0.3665,0.3665,,,,,,,,
